playerID,yearID,teamID,round,position,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP,f_TP,f_PB
anderga01,2005,LAA,ALDS2,LF,5,5,132,18,0,0,0,0,NULL
anderga01,2007,LAA,ALDS1,LF,3,3,56,2,0,0,0,0,NULL
anderga01,2008,LAA,ALDS1,LF,4,4,116,5,0,0,0,0,NULL
anderia01,2020,ATL,NLCS,P,2,2,21,1,0,0,0,0,NULL
anderia01,2020,ATL,NLDS2,P,1,1,17,0,0,0,0,0,NULL
anderia01,2020,ATL,NLWC4,P,1,1,18,0,0,0,0,0,NULL
anderia01,2021,ATL,NLCS,P,2,2,21,0,1,0,0,0,NULL
anderia01,2021,ATL,NLDS1,P,1,1,15,0,0,0,0,0,NULL
anderia01,2021,ATL,WS,P,1,1,15,0,2,0,1,0,NULL
anderji01,1979,CAL,ALCS,SS,4,4,102,4,10,0,2,0,NULL
anderla02,1983,PHI,WS,P,2,0,12,1,1,0,1,0,NULL
anderla02,1986,HOU,NLCS,P,2,0,15,1,1,0,0,0,NULL
anderla02,1990,BOS,ALCS,P,3,0,9,1,0,0,0,0,NULL
anderla02,1993,PHI,NLCS,P,3,0,7,0,1,0,0,0,NULL
anderla02,1993,PHI,WS,P,4,0,11,0,0,0,0,0,NULL
anderma02,2004,SLN,NLCS,2B,1,0,3,0,0,0,0,0,NULL
anderma02,2004,SLN,WS,2B,1,0,5,0,1,0,0,0,NULL
anderma02,2006,LAN,NLDS1,LF,3,3,72,1,0,0,0,0,NULL
anderma02,2006,LAN,NLDS1,RF,1,0,3,0,0,0,0,0,NULL
anderni01,2019,TBA,ALDS1,P,3,0,13,0,1,0,0,0,NULL
anderni01,2019,TBA,ALWC,P,1,0,4,0,0,0,0,0,NULL
anderni01,2020,TBA,ALCS,P,3,0,13,0,0,0,0,0,NULL
anderni01,2020,TBA,ALDS1,P,2,0,14,0,0,0,0,0,NULL
anderni01,2020,TBA,ALWC1,P,2,0,8,0,0,0,0,0,NULL
anderni01,2020,TBA,WS,P,3,0,9,0,0,0,0,0,NULL
anderti01,2020,CHA,ALWC4,SS,3,3,75,4,9,0,1,0,NULL
anderti01,2021,CHA,ALDS1,SS,4,4,102,5,5,1,0,0,NULL
anderty01,2017,COL,NLWC,P,1,0,3,0,0,0,0,0,NULL
anderty01,2018,COL,NLDS1,P,1,1,18,0,1,0,0,0,NULL
anderty01,2022,LAN,NLDS2,P,1,1,15,0,1,0,0,0,NULL
andinro01,2012,BAL,ALDS1,2B,5,3,102,3,11,0,3,0,NULL
andinro01,2012,BAL,ALWC,2B,1,0,9,0,1,0,0,0,NULL
andreiv01,1937,NYA,WS,P,1,0,17,0,1,0,0,0,NULL
andremi01,1967,BOS,WS,2B,3,3,81,2,6,0,0,0,NULL
andremi01,1973,OAK,ALCS,1B,1,0,3,1,0,0,0,0,NULL
andremi01,1973,OAK,WS,2B,1,0,12,1,0,2,0,0,NULL
andruel01,2010,TEX,ALCS,SS,6,6,159,12,18,0,4,0,NULL
