schoolID,school_name,school_city,school_state,school_country,NULL
iahighl,Highland Park College,Des Moines,IA,USA,NULL
iaindia,Indian Hills Community College,Centerville,IA,USA,NULL
iakirkw,Kirkwood Community College,Cedar Rapids,IA,USA,NULL
iaparso,Parsons College,Fairfield,IA,USA,NULL
iaseccs,Southeastern Iowa Community College, Keokuk Campus,Keokuk,IA,USA
iasimps,Simpson College,Indianola,IA,USA,NULL
iawescc,Iowa Western Community College,Council Bluffs,IA,USA,NULL
iawesleyan,Iowa Wesleyan College,Mount Pleasant,IA,USA,NULL
idaho,University of Idaho,Moscow,ID,USA,NULL
idahost,Idaho State University,Pocatello,ID,USA,NULL
idbyuid,Brigham Young University-Idaho,Rexburg,ID,USA,NULL
idcosid,College of Southern Idaho,Twin Falls,ID,USA,NULL
idnidjc,North Idaho College,Coeur d'Alene,ID,USA,NULL
ilaugus,Augustana College,Rock Island,IL,USA,NULL
ilcenjc,Illinois Central College,East Peoria,IL,USA,NULL
ilcollege,Illinois College,Jacksonville,IL,USA,NULL
ildixon,Dixon College,Dixon,IL,USA,NULL
ildupag,College of DuPage,Glen Ellyn,IL,USA,NULL
ilelmhu,Elmhurst College,Elmhurst,IL,USA,NULL
ilharpe,William Rainey Harper College,Palatine,IL,USA,NULL
ilkanka,Kankakee Community College,Kankakee,IL,USA,NULL
ilkaska,Kaskaskia College,Arcola,IL,USA,NULL
ilkenne,Kennedy-King College,Chicago,IL,USA,NULL
ilkishw,Kishwaukee College,Malta,IL,USA,NULL
illakel,Lake Land College,Mattoon,IL,USA,NULL
illchicago,University of Illinois at Chicago,Chicago,IL,USA,NULL
illewis,Lewis & Clark Community College,Godfrey,IL,USA,NULL
illinco,Lincoln College,Lincoln,IL,USA,NULL
illinois,University of Illinois at Urbana-Champaign,Champaign,IL,USA,NULL
illinoisst,Illinois State University,Normal,IL,USA,NULL
illogan,John A Logan College,Carterville,IL,USA,NULL
illomba,Lombard College,Galesburg,IL,USA,NULL
illtjco,Lincoln Trail College,Robinson,IL,USA,NULL
ilmcken,McKendree University,Lebanon,IL,USA,NULL
ilmorai,Moraine Valley Community College,Palos Hills,IL,USA,NULL
ilmount,Mount Morris College,Mount Morris,IL,USA,NULL
ilolney,Olney Central College,Olney,IL,USA,NULL
ilparkl,Parkland College,Champaign,IL,USA,NULL
ilseijc,Southeastern Illinois College,Harrisburg,IL,USA,NULL
ilshurt,Shurtleff College,Alton,IL,USA,NULL
ilssjco,South Suburban College,South Holland,IL,USA,NULL
ilstvia,St. Viator College,Bourbonnais,IL,USA,NULL
ilsvcco,Sauk Valley Community College,Dixon,IL,USA,NULL
ilswijc,Southwestern Illinois College,Belleville,IL,USA,NULL
iltrito,Triton College,River Grove,IL,USA,NULL
iltruma,Harry S Truman College,Chicago,IL,USA,NULL
ilwabas,Wabash Valley College,Mount Carmel,IL,USA,NULL
ilwesleyan,Illinois Wesleyan University,Bloomington,IL,USA,NULL
ilwrigh,Wilbur Wright College,Chicago,IL,USA,NULL
inander,Anderson University,Anderson,IN,USA,NULL
inbethel,Bethel College,Mishawaka,IN,USA,NULL
incante,Canterbury College,Danville,IN,USA,NULL
inconco,Concordia Theological Seminary,Fort Wayne,IN,USA,NULL
indiana,Indiana University-Bloomington,Bloomington,IN,USA,NULL
indianapa,Indiana University of Pennsylvania,Indiana,PA,USA,NULL
indianast,Indiana State University,Terre Haute,IN,USA,NULL
indpolis,University of Indianapolis,Indianapolis,IN,USA,NULL
inhanov,Hanover College,Hanover,IN,USA,NULL
inindwe,Indiana Wesleyan University,Marion,IN,USA,NULL
inintec,Indiana Institute of Technology,Fort Wayne,IN,USA,NULL
invince,Vincennes University,Vincennes,IN,USA,NULL
iona,Iona College,New Rochelle,NY,USA,NULL
iowa,University of Iowa,Iowa City,IA,USA,NULL
iowast,Iowa State University,Ames,IA,USA,NULL
ithacany,Ithaca College,Ithaca,NY,USA,NULL
jacksonst,Jackson State University,Jackson,MS,USA,NULL
jacksonvil,Jacksonville University,Jacksonville,FL,USA,NULL
jamesmad,James Madison University,Harrisonburg,VA,USA,NULL
jksonvilst,Jacksonville State University,Jacksonville,AL,USA,NULL
johnbrwnar,John Brown University,Siloam Springs,AR,USA,NULL
johnshpkns,Johns Hopkins University,Baltimore,MD,USA,NULL
juniatapa,Juniata College,Huntingdon,PA,USA,NULL
kalamazoo,Kalamazoo College,Kalamazoo,MI,USA,NULL
kansas,University of Kansas,Lawrence,KS,USA,NULL
kansasst,Kansas State University,Manhattan,KS,USA,NULL
keenest,Keene State College,Keene,NH,USA,NULL
kennesawst,Kennesaw State University,Kennesaw,GA,USA,NULL
kentst,Kent State University,Kent,OH,USA,NULL
kentucky,University of Kentucky,Lexington,KY,USA,NULL
kentuckyst,Kentucky State University,Frankfort,KY,USA,NULL
kenyonoh,Kenyon College,Gambier,OH,USA,NULL
knoxil,Knox College,Galesburg,IL,USA,NULL
ksbarto,Barton County Community College,Great Bend,KS,USA,NULL
ksbutle,Butler County Community College,El Dorado,KS,USA,NULL
kscloud,Cloud County Community College,Concordia,KS,USA,NULL
kscowle,Cowley County Community College,Arkansas City,KS,USA,NULL
ksftsco,Fort Scott Community College,Fort Scott,KS,USA,NULL
ksgarde,Garden City Community College,Garden City,KS,USA,NULL
kshutch,Hutchinson Community College,Hutchinson,KS,USA,NULL
ksindep,Independence Community College,Independence,KS,USA,NULL
ksjohns,Johnson County Community College,Overland Park,KS,USA,NULL
kskccco,Kansas City Kansas Community College,Kansas City,KS,USA,NULL
kslabet,Labette Community College,Parsons,KS,USA,NULL
ksneosh,Neosho County Community College,Chanute,KS,USA,NULL
kspratt,Pratt Community College,Pratt,KS,USA,NULL
ksstmaC,St. Mary's College,St. Mary's,KS,USA,NULL
kutztown,Kutztown University of Pennsylvania,Kutztown,PA,USA,NULL
kybella,Bellarmine College,Louisville,KY,USA,NULL
kysomer,Somerset Community College,Somerset,KY,USA,NULL
